#Series: Acidobacteria Actinobacteria Bacteroidetes Chlorobi Cyanobacteria Elusimicrobia Euryarchaeota Firmicutes Lentisphaerae Nitrospirae Planctomycetes Proteobacteria Spirochaetes Verrucomicrobia "NifH frequencies" Month
" 28May07 " 0 0 0 1 0 0 0 0 0 0 0 8 0 1 LOW "May "
" 7June07 " 2 0 0 5 0 0 0 1 0 0 0 20 0 0 LOW June
" 13June07 " 4 1 0 1 0 0 0 0 0 0 0 23 0 0 LOW June
" 27June07 " 10 0 0 39 0 0 0 0 0 0 0 27 0 7 MEDIUM June
" 02July07 " 8 0 0 20 0 0 0 0 1 0 0 19 0 2 MEDIUM July
" 10July07 " 5 0 1 8 0 0 1 0 0 0 0 21 0 1 LOW "July "
" 25July07 " 14 1 3 76 0 0 0 0 0 0 0 24 1 7 MEDIUM "July "
" 31July07 " 11 1 2 31 0 0 0 0 0 0 0 10 0 2 LOW July
" 09Aug07 " 5 1 4 29 0 0 0 1 0 0 0 8 1 1 MEDIUM "August "
" 20Aug07 " 15 1 2 34 0 0 0 1 0 0 0 13 1 2 MEDIUM "August "
" 27Aug07 " 8 1 0 28 0 0 0 0 0 0 0 45 0 3 MEDIUM "August "
" 10Sept07 " 13 1 2 71 0 0 0 0 0 0 0 13 0 6 HIGH September
" 17Sept07 " 7 0 2 54 0 0 0 0 0 0 0 16 0 6 MEDIUM September
" 01Oct07 " 9 0 3 111 0 0 0 0 0 0 0 5 0 1 HIGH October
" 16Oct07 " 5 1 3 42 0 0 0 0 0 0 0 8 0 2 MEDIUM October
" 05Nov07 " 9 2 3 9 0 0 0 0 0 0 1 23 0 4 LOW November
" 14Nov07 " 0 0 0 0 0 0 0 0 0 0 0 29 0 0 LOW November
" 22May08 " 2 0 0 6 0 0 0 0 0 0 0 37 0 1 LOW "May "
" 29May08 " 2 0 1 36 0 0 0 0 0 0 0 25 0 0 MEDIUM "May "
" 13June08 " 4 0 0 27 0 0 1 0 0 0 0 9 0 1 MEDIUM June
24June08 9 0 0 202 0 0 1 1 0 0 0 32 0 1 HIGH June
" 1July08 " 1 0 0 25 0 0 0 1 0 0 0 9 0 0 MEDIUM "July "
" 8July08 " 11 3 0 79 1 0 0 2 0 0 0 56 0 8 MEDIUM July
" 15July08 " 13 2 1 161 0 0 0 0 1 0 0 29 0 4 HIGH July
" 22July08 " 5 0 1 44 0 0 0 0 0 0 0 9 0 1 MEDIUM July
" 29July08 " 4 0 1 166 0 0 0 0 0 0 0 22 0 4 HIGH July
" 05Aug08 " 1 1 0 51 0 0 0 2 0 0 0 11 0 4 MEDIUM "August "
" 12Aug08 " 7 0 0 58 0 0 0 1 0 0 0 16 0 2 MEDIUM "August "
" 19Aug08 " 7 1 0 36 0 0 0 0 0 0 0 16 0 1 MEDIUM "August "
" 25Aug08 " 9 0 0 62 0 0 0 1 0 0 0 13 0 8 MEDIUM "August "
" 09Sept08 " 0 1 0 18 0 0 0 3 1 1 0 11 0 1 MEDIUM September
" 20Sept08 " 4 2 5 87 0 1 0 0 0 0 0 21 0 6 MEDIUM September
" 4Oct08 " 9 1 1 82 0 1 0 0 0 0 0 13 0 11 MEDIUM October
" 23Oct08 " 0 0 0 2 0 0 0 0 0 0 0 5 0 0 LOW October
" 29May09 " 30 0 0 77 0 0 0 0 0 0 0 74 0 2 MEDIUM May
" 08June09 " 22 1 1 53 0 0 0 0 0 0 0 41 0 3 MEDIUM June
" 15June09 " 41 0 0 136 0 0 1 1 0 0 0 59 0 4 HIGH "June "
" 23June09 " 46 1 0 44 0 0 0 1 0 0 0 50 0 1 MEDIUM "June "
" 29June09 " 41 1 0 117 0 0 0 0 0 0 0 30 0 1 MEDIUM "June "
" 7July09 " 71 2 1 80 0 0 0 1 0 0 0 36 0 7 HIGH July
" 13July09 " 17 0 0 12 0 0 0 0 0 0 0 12 0 4 MEDIUM July
" 27July09 " 53 0 2 95 0 0 1 2 0 0 0 58 0 6 HIGH July
" 3Aug09 " 43 2 1 60 0 1 0 0 0 0 0 35 0 2 HIGH "August "
" 11Aug09 " 3 0 0 88 0 0 0 0 0 0 0 8 0 1 HIGH "August "
" 18Aug09 " 57 2 1 42 0 0 0 1 0 1 0 48 0 2 MEDIUM "August "
